Sell 350  APPL @ 20.12 #+15145555702
Sell 320  APPL @ 20.06 #+15145556700
Buy 490  APPL @ 20.22 #+15145552825
Buy 410  APPL @ 20.06 #+15145559822
Sell 580  APPL @ 20.13 #+15145554935
Sell 460  APPL @ 20.05 #+15145556789
Buy 500  APPL @ 19.96 #+15145557249
Buy 690  APPL @ 19.76 #+15145552162
Sell 530  APPL @ 19.54 #+15145557844
Buy 530  APPL @ 19.71 #+15145551227
Sell 580  ABLE @ 19.73 #+15145559096
Buy 800  ABLE @ 20.01 #+15145558488
Sell 750  ABLE @ 19.82 #+15145550106
Buy 670  ABLE @ 19.6 #+15145557230
Buy 1570  ABLE @ 19.78 #+15145553569
Sell 870  ABLE @ 19.42 #+15145551575
Sell 530  ABLE @ 19.34 #+15145551290
Sell 430  ABLE @ 19.36 #+15145551428
Sell 530  ABLE @ 19.45 #+15145555962
Buy 530  ABLE @ 19.77 #+15145559630
Sell 570  ABLE @ 19.73 #+15145553258
Buy 680  ABLE @ 20.24 #+15145551975
Sell 710  ABLE @ 20.06 #+15145554974
Sell 580  ABLE @ 19.98 #+15145558669
Buy 910  ABLE @ 19.99 #+15145550623
Buy 900  ABLE @ 20.05 #+15145553079
Buy 780  ABLE @ 20.36 #+15145558234
Sell 690  ABLE @ 20.15 #+15145559439
Sell 770  ABLE @ 19.73 #+15145557440
Sell 760  ABLE @ 19.47 #+15145556295
Sell 670  ABLE @ 19.66 #+15145557326
Buy 550  ABLE @ 19.69 #+15145552668
Buy 810  ABLE @ 19.34 #+15145550705
Sell 700  ABLE @ 19.44 #+15145554641
Buy 620  ABLE @ 19.81 #+15145558304
Sell 470  ABLE @ 19.93 #+15145556265
Buy 1100  ABLE @ 19.63 #+15145558308
Sell 540  ABLE @ 19.59 #+15145551476
Sell 690  ABLE @ 20 #+15145555080
Buy 470  ABLE @ 19.79 #+15145551667
Sell 520  ABLE @ 19.67 #+15145558563
Buy 670  ABLE @ 19.46 #+15145554371
Buy 600  ABLE @ 19.68 #+15145554124
Buy 670  ABLE @ 19.97 #+15145558330
Buy 570  ABLE @ 20.07 #+15145558208
Buy 490  ABLE @ 20.35 #+15145559854
Buy 540  ABLE @ 20 #+15145558200
Sell 600  ABLE @ 20.04 #+15145554994
Sell 440  ABLE @ 19.89 #+15145550633
Buy 520  ABLE @ 19.78 #+15145551980
Buy 640  ABLE @ 19.76 #+15145555583
Buy 670  ABLE @ 19.67 #+15145555866
Buy 640  ABLE @ 19.88 #+15145557109
Buy 690  ABLE @ 19.78 #+15145552143
Buy 720  ABLE @ 19.48 #+15145553045
Buy 1400  ABLE @ 19.53 #+15145559717
Sell 1500  ABLE @ 19.61 #+15145551485
Buy 510  ABLE @ 19.42 #+15145555664
Sell 550  ABLE @ 19.45 #+15145550876
Sell 760  ABLE @ 19.53 #+15145558935
Sell 510  ABLE @ 19.51 #+15145552652
Sell 910  ABLE @ 19.39 #+15145554087
Buy 1390  ABLE @ 19.3 #+15145559840
Sell 1250  ABLE @ 19.47 #+15145558386
Buy 1580  ABLE @ 19.38 #+15145556435
Sell 1180  ABLE @ 19.34 #+15145559539
Sell 1100  ABLE @ 19.22 #+15145555898
Buy 670  ABLE @ 19.07 #+15145558461
Sell 570  ABLE @ 19.17 #+15145553861
Buy 580  ABLE @ 19.11 #+15145557928
Buy 660  ABLE @ 19.11 #+15145554116
Sell 440  ABLE @ 19.17 #+15145558572
Sell 580  ABLE @ 19.17 #+15145556160
Sell 430  ABLE @ 18.77 #+15145554802
Buy 490  ABLE @ 18.47 #+15145550702
Buy 450  ABLE @ 18.54 #+15145550819
Sell 490  ABLE @ 18.71 #+15145557721
Buy 590  ABLE @ 18.57 #+15145553028
Buy 1320  ABLE @ 18.35 #+15145555976
Buy 880  ABLE @ 18.56 #+15145552652
Sell 530  ABLE @ 18.57 #+15145558923
Sell 460  ABLE @ 18.45 #+15145552730
Sell 400  ABLE @ 18.31 #+15145553828
Sell 500  ABLE @ 18.36 #+15145556984
Buy 470  ABLE @ 18.7 #+15145555506
Buy 430  ABLE @ 18.8 #+15145555578
Sell 590  ABLE @ 18.58 #+15145557795
Buy 580  ABLE @ 18.52 #+15145555504
Buy 450  ABLE @ 18.79 #+15145557045
Sell 510  ABLE @ 18.84 #+15145555037
Sell 510  ABLE @ 18.66 #+15145552093
Sell 380  ABLE @ 18.7 #+15145551062
Buy 480  ABLE @ 18.45 #+15145556419
Buy 440  ABLE @ 18.8 #+15145552224
Buy 440  ABLE @ 18.56 #+15145555069
Buy 520  ABLE @ 18.47 #+15145553873
Sell 390  ABLE @ 18.34 #+15145557076
Buy 530  ABLE @ 18.36 #+15145552235
Sell 390  ABLE @ 18.1 #+15145553708
Sell 710  ABLE @ 18.04 #+15145556505
Buy 480  ABLE @ 18.04 #+15145551297
